Rank,Player,Team,Total_Impact,Impact_Per_Match,Matches,Runs,Wickets
93,Ashwani Kumar,MI,201.3,28.7,7,0,11
94,Jaydev Unadkat,SRH,201.1,28.7,7,0,11
95,Sherfane Rutherford,GT,199.4,15.3,13,291,-
96,Tilak Varma,MI,195.2,12.2,16,343,-
97,Karun Nair,DC,191.3,23.9,8,198,-
98,Arshad Khan,GT,186.6,20.7,9,23,6
99,Ravi Bishnoi,LSG,186.3,16.9,11,13,9
100,Rinku Singh,KKR,184.7,14.2,13,206,-
101,Ravichandran Ashwin,CSK,177.1,19.6,9,33,7
102,Akash Singh,LSG,168.4,56.1,3,0,4
103,Washington Sundar,GT,164.5,27.4,6,133,2
104,Vijaykumar Vyshak,PBKS,157.1,31.4,5,0,4
105,Will O'Rourke,LSG,155.1,51.7,3,0,6
106,Kyle Jamieson,PBKS,153.8,38.4,4,0,5
107,Moeen Ali,KKR,150,25,6,5,6
108,Mustafizur Rahman,DC,147.4,49.1,3,0,4
109,Shimron Hetmyer,RR,146.5,10.4,14,239,-
110,Ruturaj Gaikwad,CSK,142.4,28.4,5,122,-
111,Zeeshan Ansari,SRH,142.2,14.2,10,0,6
112,Rachin Ravindra,CSK,140,17.5,8,191,-
113,Glenn Maxwell,PBKS,137.4,19.6,7,48,4
114,Lungi Ngidi,RCB,135.8,67.9,2,0,4
115,Faf du Plessis,DC,134.5,14.9,9,202,-
116,Abdul Samad,LSG,128.3,9.8,13,164,-
117,Prince Yadav,LSG,127,21.1,6,5,3
118,Sameer Rizvi,DC,126.4,25.2,5,121,-
119,Rishabh Pant,LSG,123.5,8.8,14,269,-
120,Lockie Ferguson,PBKS,122.5,30.6,4,4,5
121,Vignesh Puthur,MI,121.6,24.3,5,0,6
122,Quinton de Kock,KKR,119.5,14.9,8,152,-
123,Kamindu Mendis,SRH,117.7,23.5,5,92,2
124,Mohammed Shami,SRH,116.9,12.9,9,10,6
125,Nitish Kumar Reddy,SRH,112.3,8.6,13,182,2
126,Karn Sharma,MI,109.1,18.1,6,1,7
127,Liam Livingstone,RCB,108.6,10.8,10,112,2
128,Jonny Bairstow,MI,102.8,51.4,2,85,-
129,MS Dhoni,CSK,101.8,7.2,14,196,-
130,Vijay Shankar,CSK,99.7,16.6,6,118,-
131,Venkatesh Iyer,KKR,98.5,8.9,11,142,-
132,Urvil Patel,CSK,97.7,32.5,3,68,-
133,Harsh Dubey,SRH,96.6,32.2,3,0,5
134,Devon Conway,CSK,96.2,16,6,156,-
135,Akash Madhwal,RR,92.6,23.1,4,4,4
136,Akash Deep,LSG,90.3,15,6,6,3
137,Mohit Sharma,DC,85.5,10.6,8,1,2
138,Yudhvir Singh,RR,84.9,21.2,4,0,4
139,Gerald Coetzee,GT,81.5,20.3,4,17,2
140,Rahul Tewatia,GT,78.1,5.2,15,99,-
141,Manish Pandey,KKR,71.5,23.8,3,92,-
142,Dushmantha Chameera,DC,70.6,11.7,6,10,4
143,Mayank Agarawal,RCB,68.9,17.2,4,95,-
144,Sam Curran,CSK,67.4,13.4,5,114,1
145,Nuwan Thushara,RCB,63.8,63.8,1,0,1
146,Jacob Bethell,RCB,63.6,31.8,2,67,-
147,Corbin Bosch,MI,59.2,19.7,3,47,1
148,Ishant Sharma,GT,58.8,8.4,7,0,4
149,Rahmanullah Gurbaz,KKR,54.6,10.9,5,74,-
150,Kumar Kartikeya,RR,52.5,13.1,4,3,2
151,Mayank Yadav,LSG,50,25,2,0,2
152,Shubham Dubey,RR,48.6,6,8,106,-
153,Kagiso Rabada,GT,48.2,12,4,9,2
154,David Miller,LSG,47.5,4.3,11,153,-
155,Kwena Maphaka,RR,47.2,23.6,2,8,1
156,Xavier Bartlett,PBKS,45.3,11.3,4,11,2
157,Anukul Roy,KKR,45.2,45.2,1,0,1
158,Manimaran Siddharth,LSG,38.4,19.2,2,0,2
159,Ramandeep Singh,KKR,35.9,3.2,11,47,-
160,Praveen Dubey,PBKS,28.5,28.5,1,0,1
161,Richard Gleeson,MI,27.9,27.9,1,0,1
162,Shaik Rasheed,CSK,27.9,5.5,5,71,-
163,Rahul Tripathi,CSK,24.1,4.8,5,55,-
164,Kulwant Khejroliya,GT,22.1,22.1,1,0,1
165,Kusal Mendis,GT,20.2,20.2,1,20,-
166,Shahbaz Ahmed,LSG,15.9,5.3,3,9,1
167,Adam Zampa,SRH,15.8,7.9,2,0,2
168,Jake Fraser-McGurk,DC,15.6,2.6,6,55,-
169,Sediqullah Atal,DC,15.3,15.3,1,22,-
170,Yash Thakur,PBKS,14.6,7.3,2,0,1
171,Anrich Nortje,KKR,13.8,6.9,2,0,1
172,Mukesh Choudhary,CSK,12.2,6.1,2,0,1
173,Rasikh Salam,RCB,12.1,6,2,0,1
174,Atharva Taide,SRH,10.7,10.7,1,13,-
175,Nathan Ellis,CSK,10.4,10.4,1,0,1
176,Mujeeb Ur Rahman,MI,8.1,8.1,1,0,1
177,Raj Bawa,MI,6.4,2.1,3,8,-
178,Madhav Tiwari,DC,1.2,1.2,1,3,-
179,Rahul Chahar,SRH,0.9,0.9,1,0,-
180,Sachin Baby,SRH,0,0,1,0,-
181,Himmat Singh,LSG,0,0,3,0,-
182,Rovman Powell,KKR,-0.1,-0.1,2,5,-
183,Matthew Breetzke,LSG,-2.4,-2.4,1,14,-
184,Manoj Bhandage,RCB,-3,-3,1,1,-
185,Musheer Khan,PBKS,-3.4,-3.4,1,0,1
186,Mitchell Owen,PBKS,-4.6,-4.6,1,0,-
187,Abhinav Manohar,SRH,-4.7,-0.6,8,61,-
188,Reece Topley,MI,-5.5,-5.5,1,0,-
189,Satyanarayana Raju,MI,-5.6,-2.8,2,1,1
190,Spencer Johnson,KKR,-5.9,-1.5,4,2,1
191,Donovan Ferreira,DC,-6.7,-6.7,1,1,-
192,Wiaan Mulder,SRH,-7.4,-7.4,1,9,-
193,Chetan Sakariya,KKR,-7.6,-7.6,1,0,-
194,Deepak Hooda,CSK,-7.8,-1.2,7,31,-
195,Suryansh Shedge,PBKS,-7.8,-1.6,5,7,-
196,Jamie Overton,CSK,-9.5,-3.2,3,15,-
197,Simarjeet Singh,SRH,-13.3,-3.4,4,3,2
198,Kunal Singh Rathore,RR,-14.6,-14.6,1,0,-
199,T Natarajan,DC,-19.4,-9.7,2,0,-
200,Karim Janat,GT,-19.5,-19.5,1,0,-
201,Fazalhaq Farooqi,RR,-19.6,-4,5,2,-
202,Robin Minz,MI,-19.8,-9.9,2,6,-
